"country";"indicator";"year";"value"
"BFA";306;2007;14235,1
"BFA";306;2009;15095
"BFA";306;2010;15540,3
"BFA";306;2011;15995,3
"BFA";306;2012;16460,1
"BFA";306;2013;16934,8
"BGD";306;1980;82498,4
"BGD";306;1985;94287,7
"BGD";306;1990;107385,8
"BGD";306;1995;119869,6
"BGD";306;2000;132383,3
"BGD";306;2005;143135,2
"BGD";306;2006;144868,7
"BGD";306;2007;146457,1
"BGD";306;2009;149503,1
"BGD";306;2010;151125,5
"BGD";306;2011;152862,4
"BGD";306;2012;154695,4
"BGD";306;2013;156595
"BGR";306;1980;8865,2
"BGR";306;1985;8960,4
"BGR";306;1990;8821,1
"BGR";306;1995;8358,1
"BGR";306;2000;8000,5
"BGR";306;2005;7683,3
"BGR";306;2006;7622,9
"BGR";306;2007;7563,1
"BGR";306;2009;7446,2
"BGR";306;2010;7389,2
"BGR";306;2011;7333,1
"BGR";306;2012;7277,8
"BGR";306;2013;7222,9
"BHR";306;1980;359,9
"BHR";306;1985;419,4
"BHR";306;1990;495,9
"BHR";306;1995;563,7
"BHR";306;2000;668,2
"BHR";306;2005;879,5
"BHR";306;2006;951
"BHR";306;2007;1032,4
"BHR";306;2009;1191,5
"BHR";306;2010;1251,5
"BHR";306;2011;1292,8
"BHR";306;2012;1317,8
"BHR";306;2013;1332,2
"BHS";306;1980;210,7
"BHS";306;1985;234,7
"BHS";306;1990;256,3
"BHS";306;1995;280,1
"BHS";306;2000;297,8
"BHS";306;2005;329,1
"BHS";306;2006;335,6
"BHS";306;2007;342
"BHS";306;2009;354,5
"BHS";306;2010;360,5
"BHS";306;2011;366,3
"BHS";306;2012;372
"BHS";306;2013;377,4
"BIH";306;1980;4099,9
"BIH";306;1985;4322
"BIH";306;1990;4526,5
"BIH";306;1995;3521
"BIH";306;2000;3834,4
"BIH";306;2005;3879,8
"BIH";306;2006;3875,2
"BIH";306;2007;3868,7
"BIH";306;2009;3853,4
"BIH";306;2010;3845,9
"BIH";306;2011;3839,3
"BIH";306;2012;3833,9
"BIH";306;2013;3829,3
"BLR";306;1980;9658,7
"BLR";306;1985;9998,6
"BLR";306;1990;10259,9
"BLR";306;1995;10189,1
"BLR";306;2000;9981,5
"BLR";306;2005;9664,7
"BLR";306;2006;9620,4
"BLR";306;2007;9585,4
"BLR";306;2009;9525,8
"BLR";306;2010;9491,1
"BLR";306;2011;9450,4
"BLR";306;2012;9405,1
"BLR";306;2013;9356,7
"BLZ";306;1980;144,2
"BLZ";306;1985;164,9
"BLZ";306;1990;187,6
"BLZ";306;1995;207
"BLZ";306;2000;238,6
"BLZ";306;2005;271,9
"BLZ";306;2006;279
"BLZ";306;2007;286,2
"BLZ";306;2009;301
"BLZ";306;2010;308,6
"BLZ";306;2011;316,3
"BLZ";306;2012;324,1
"BLZ";306;2013;331,9
"BOL";306;1980;5368,9
"BOL";306;1985;6040,8
"BOL";306;1990;6794
"BOL";306;1995;7635,4
"BOL";306;2000;8495,3
"BOL";306;2005;9354,7
"BOL";306;2006;9517,4
"BOL";306;2007;9676,5
"BOL";306;2009;9993,4
"BOL";306;2010;10156,6
"BOL";306;2011;10324,4
"BOL";306;2012;10496,3
"BOL";306;2013;10671,2
"BRA";306;1980;121740,4
"BRA";306;1985;136223
"BRA";306;1990;149648,3
"BRA";306;1995;161890,8
"BRA";306;2000;174504,9
"BRA";306;2005;186142,4
"BRA";306;2006;188134,3
"BRA";306;2007;189997
"BRA";306;2009;193490,9
"BRA";306;2010;195210,2
"BRA";306;2011;196935,1
"BRA";306;2012;198656
"BRA";306;2013;200361,9
"BRB";306;1980;248,8
"BRB";306;1985;254,4
"BRB";306;1990;259,3
"BRB";306;1995;263,2
"BRB";306;2000;267,2
"BRB";306;2005;273,6
"BRB";306;2006;274,9
"BRB";306;2007;276,3
"BRB";306;2009;279
"BRB";306;2010;280,4
"BRB";306;2011;281,8
"BRB";306;2012;283,2
"BRB";306;2013;284,6
"BRN";306;1980;193
"BRN";306;1985;223
"BRN";306;1990;256,9
"BRN";306;1995;295
"BRN";306;2000;331,8
"BRN";306;2005;367,8
"BRN";306;2006;374,7
"BRN";306;2007;381,4
"BRN";306;2009;394,4
"BRN";306;2010;400,6
"BRN";306;2011;406,5
"BRN";306;2012;412,2
"BRN";306;2013;417,8
"BTN";306;1980;412,7
"BTN";306;1985;469,2
"BTN";306;1990;535,7
"BTN";306;1995;509,1
"BTN";306;2000;564,4
"BTN";306;2005;650,4
"BTN";306;2006;665,6
"BTN";306;2007;679,4
"BTN";306;2009;704,5
"BTN";306;2010;716,9
"BTN";306;2011;729,4
"BTN";306;2012;741,8
"BTN";306;2013;753,9
"BWA";306;1980;997,5
"BWA";306;1985;1184,7
"BWA";306;1990;1383,9
"BWA";306;1995;1583,5
"BWA";306;2000;1755,4
"BWA";306;2005;1875,8
"BWA";306;2006;1895,9
"BWA";306;2007;1915,2
"BWA";306;2009;1951,7
"BWA";306;2010;1969,3
"BWA";306;2011;1986,7
"BWA";306;2012;2003,9
"BWA";306;2013;2021,1
"CAF";306;1980;2274,1
"CAF";306;1985;2623
"CAF";306;1990;2912,8
"CAF";306;1995;3275,7
"CAF";306;2000;3638,3
"CAF";306;2005;3960,9
"CAF";306;2006;4032,1
"CAF";306;2007;4106,9
"CAF";306;2009;4266,2
"CAF";306;2010;4349,9
"CAF";306;2011;4436,2
"CAF";306;2012;4525,2
"CAF";306;2013;4616,4
"CAN";306;1980;24511,1
"CAN";306;1985;25843,5
"CAN";306;1990;27657,8
"CAN";306;1995;29294,9
"CAN";306;2000;30697,4
"CAN";306;2005;32253,1
"CAN";306;2006;32611
"CAN";306;2007;32985,8
"CAN";306;2009;33752,6
"CAN";306;2010;34126,2
"CAN";306;2011;34487,4
"CAN";306;2012;34838
"CAN";306;2013;35181,7
"CHE";306;1980;6303,6
"CHE";306;1985;6455,7
"CHE";306;1990;6673,9
"CHE";306;1995;7017
"CHE";306;2000;7165,6
"CHE";306;2005;7408,6
"CHE";306;2006;7482,2
"CHE";306;2007;7564,7
"CHE";306;2009;7742,8
"CHE";306;2010;7830,5
"CHE";306;2011;7915,2
"CHE";306;2012;7997,4
"CHE";306;2013;8077,8
"CHL";306;1980;11192,4
"CHL";306;1985;12127
"CHL";306;1990;13213,9
"CHL";306;1995;14440,1
"CHL";306;2000;15454,4
"CHL";306;2005;16337,7
"CHL";306;2006;16504,5
"CHL";306;2007;16668,9
"CHL";306;2009;16991,7
"CHL";306;2010;17150,8
"CHL";306;2011;17308,4
"CHL";306;2012;17464,8
"CHL";306;2013;17619,7
"CHN";306;1980;984015,7
"CHN";306;1985;1062299,2
"CHN";306;1990;1165429
"CHN";306;1995;1237531,4
"CHN";306;2000;1280428,6
"CHN";306;2005;1318176,8
"CHN";306;2006;1326146,4
"CHN";306;2007;1334343,5
"CHN";306;2009;1351247,6
"CHN";306;2010;1359821,5
"CHN";306;2011;1368440,3
"CHN";306;2012;1377064,9
"CHN";306;2013;1385566,5
"CIV";306;1980;1509,8
"CIV";306;1985;1759,2
"CIV";306;1990;2081,3
"CIV";306;1995;2598,4
"CIV";306;2000;3204,6
"CIV";306;2005;3559,9
"CIV";306;2006;3638,8
"CIV";306;2007;3725,1
"CIV";306;2009;3914
"CIV";306;2010;4012,9
"CIV";306;2011;4114,2
"CIV";306;2012;4218,8
"CIV";306;2013;4326,3
"CMR";306;1980;8932,1
"CMR";306;1985;10381,1
"CMR";306;1990;12070,4
"CMR";306;1995;13929,6
"CMR";306;2000;15927,7
"CMR";306;2005;18137,7
"CMR";306;2006;18611,9
"CMR";306;2007;19097,7
"CMR";306;2009;20103,9
"CMR";306;2010;20624,3
"CMR";306;2011;21156,3
"CMR";306;2012;21699,6
