"country";"indicator";"year";"value"
"DJI";38006;2006;8,3
"DJI";38006;2007;8,4
"DJI";38006;2012;8,4
"DMA";38006;2010;3,5
"DMA";38006;2012;3,5
"DNK";38006;1980;6
"DNK";38006;1995;7,6
"DNK";38006;2000;8,3
"DNK";38006;2005;8,3
"DNK";38006;2006;8
"DNK";38006;2007;7,8
"DNK";38006;2009;8,7
"DNK";38006;2012;8,7
"DOM";38006;1985;1,2
"DOM";38006;1995;1
"DOM";38006;2000;1,9
"DOM";38006;2007;2,2
"DOM";38006;2012;2,2
"DZA";38006;1980;6,6
"DZA";38006;2012;4,3
"ECU";38006;1985;7,6
"ECU";38006;1995;2,4
"ECU";38006;2000;1,3
"ECU";38006;2010;4,9
"ECU";38006;2011;5,2
"ECU";38006;2012;5,2
"EGY";38006;1980;4,2
"EGY";38006;1995;4,6
"EGY";38006;2005;4,8
"EGY";38006;2006;4
"EGY";38006;2007;3,7
"EGY";38006;2012;3,8
"ERI";38006;2000;3,2
"ERI";38006;2006;2,1
"ERI";38006;2012;2,1
"ESP";38006;1990;3,7
"ESP";38006;1995;4,6
"ESP";38006;2000;4,3
"ESP";38006;2005;4,2
"ESP";38006;2006;4,3
"ESP";38006;2007;4,3
"ESP";38006;2009;5
"ESP";38006;2010;5
"ESP";38006;2012;5
"EST";38006;1995;6,1
"EST";38006;2000;5,3
"EST";38006;2005;4,9
"EST";38006;2007;4,7
"EST";38006;2009;6,1
"EST";38006;2010;5,7
"EST";38006;2012;5,7
"ETH";38006;1985;2,4
"ETH";38006;2000;3,9
"ETH";38006;2006;5,5
"ETH";38006;2007;5,5
"ETH";38006;2009;4,6
"ETH";38006;2010;4,7
"ETH";38006;2012;4,7
"FIN";38006;1980;4,9
"FIN";38006;1985;5,1
"FIN";38006;1990;5,4
"FIN";38006;1995;7
"FIN";38006;2000;5,9
"FIN";38006;2005;6,3
"FIN";38006;2006;6,2
"FIN";38006;2007;5,9
"FIN";38006;2009;6,8
"FIN";38006;2010;6,8
"FIN";38006;2012;6,8
"FJI";38006;2000;5,9
"FJI";38006;2005;5,1
"FJI";38006;2006;5,6
"FJI";38006;2007;5,8
"FJI";38006;2009;4,5
"FJI";38006;2011;4,1
"FJI";38006;2012;4,1
"FRA";38006;1980;4,4
"FRA";38006;1985;4,9
"FRA";38006;1990;4,6
"FRA";38006;1995;5,9
"FRA";38006;2000;5,7
"FRA";38006;2005;5,7
"FRA";38006;2006;5,6
"FRA";38006;2007;5,6
"FRA";38006;2009;5,9
"FRA";38006;2012;5,9
"FSM";38006;2000;6,7
"GAB";38006;2000;3,8
"GBR";38006;1980;5,3
"GBR";38006;1985;4,8
"GBR";38006;1990;4,4
"GBR";38006;1995;5,2
"GBR";38006;2000;4,5
"GBR";38006;2005;5,4
"GBR";38006;2006;5,5
"GBR";38006;2007;5,4
"GBR";38006;2009;5,6
"GBR";38006;2012;5,6
"GEO";38006;2000;2,2
"GEO";38006;2005;2,5
"GEO";38006;2006;3
"GEO";38006;2007;2,7
"GEO";38006;2009;3,2
"GEO";38006;2011;2,7
"GEO";38006;2012;2,7
"GHA";38006;1980;2,7
"GHA";38006;2005;7,4
"GHA";38006;2006;5,3
"GHA";38006;2007;5,5
"GHA";38006;2009;5,3
"GHA";38006;2010;5,5
"GHA";38006;2011;8,2
"GHA";38006;2012;8,2
"GIN";38006;1995;1,9
"GIN";38006;2000;2,6
"GIN";38006;2005;1,8
"GIN";38006;2009;3,2
"GIN";38006;2010;3,7
"GIN";38006;2011;3,1
"GIN";38006;2012;3,1
"GMB";38006;1985;4,3
"GMB";38006;1990;2,8
"GMB";38006;1995;2,6
"GMB";38006;2000;1,5
"GMB";38006;2009;3,1
"GMB";38006;2010;4,2
"GMB";38006;2011;3,9
"GMB";38006;2012;3,9
"GNQ";38006;2000;0,7
"GRC";38006;1990;2,1
"GRC";38006;1995;2,6
"GRC";38006;2000;3,4
"GRC";38006;2005;4,1
"GRC";38006;2012;4,1
"GTM";38006;1995;1,6
"GTM";38006;2006;3
"GTM";38006;2007;3
"GTM";38006;2010;2,8
"GTM";38006;2012;2,8
"GUY";38006;1995;3,6
"GUY";38006;2000;8,5
"GUY";38006;2005;8,1
"GUY";38006;2006;5,1
"GUY";38006;2007;3,8
"GUY";38006;2009;3,4
"GUY";38006;2010;3,7
"GUY";38006;2011;3,6
"GUY";38006;2012;3,6
"HKG";38006;1980;2,2
"HKG";38006;1985;2,6
"HKG";38006;1990;2,5
"HKG";38006;2005;4,1
"HKG";38006;2006;3,8
"HKG";38006;2007;3,5
"HKG";38006;2009;4,4
"HKG";38006;2010;3,5
"HKG";38006;2011;3,4
"HKG";38006;2012;3,4
"HND";38006;1980;3
"HND";38006;1995;3,6
"HRV";38006;2007;4
"HRV";38006;2009;4,4
"HRV";38006;2010;4,3
"HRV";38006;2012;4,3
"HUN";38006;1980;4,5
"HUN";38006;1985;4,7
"HUN";38006;1990;5,6
"HUN";38006;1995;4,9
"HUN";38006;2000;5
"HUN";38006;2005;5,5
"HUN";38006;2006;5,4
"HUN";38006;2007;5,3
"HUN";38006;2009;5,1
"HUN";38006;2010;4,9
"HUN";38006;2012;4,9
"IDN";38006;2005;2,9
"IDN";38006;2006;3,6
"IDN";38006;2007;3
"IDN";38006;2009;3,5
"IDN";38006;2010;3
"IDN";38006;2011;2,8
"IDN";38006;2012;2,8
"IND";38006;2000;4,3
"IND";38006;2005;3,1
"IND";38006;2006;3,1
"IND";38006;2009;3,2
"IND";38006;2010;3,3
"IND";38006;2012;3,3
"IRL";38006;1980;5,5
"IRL";38006;1985;5,4
"IRL";38006;1990;4,7
"IRL";38006;1995;5
"IRL";38006;2000;4,2
"IRL";38006;2005;4,7
"IRL";38006;2006;4,7
"IRL";38006;2007;4,9
"IRL";38006;2009;6,5
"IRL";38006;2012;6,5
"IRN";38006;1985;3,7
"IRN";38006;1990;4
"IRN";38006;1995;4,4
"IRN";38006;2000;4,4
"IRN";38006;2005;4,7
"IRN";38006;2006;5,1
"IRN";38006;2007;5,5
"IRN";38006;2009;4,7
"IRN";38006;2010;4,7
"IRN";38006;2012;4,7
"IRQ";38006;1980;2,3
"ISL";38006;1990;4,3
"ISL";38006;1995;4,9
"ISL";38006;2000;6,7
"ISL";38006;2005;7,6
"ISL";38006;2006;7,5
"ISL";38006;2007;7,4
"ISL";38006;2009;7,8
"ISL";38006;2012;7,8
"ISR";38006;1980;8,6
"ISR";38006;1985;9
"ISR";38006;1990;6,1
"ISR";38006;2000;6,5
"ISR";38006;2005;6,1
"ISR";38006;2006;6,1
"ISR";38006;2007;5,9
"ISR";38006;2009;5,8
"ISR";38006;2010;6
"ISR";38006;2012;6
"ITA";38006;1985;4,9
"ITA";38006;1995;4,5
"ITA";38006;2000;4,4
"ITA";38006;2005;4,4
"ITA";38006;2006;4,7
"ITA";38006;2007;4,3
"ITA";38006;2009;4,7
"ITA";38006;2010;4,5
"ITA";38006;2012;4,5
"JAM";38006;1985;5,4
"JAM";38006;1990;4,8
"JAM";38006;1995;3,7
"JAM";38006;2000;5
"JAM";38006;2005;4,6
"JAM";38006;2007;5,5
"JAM";38006;2009;6,2
"JAM";38006;2010;6,4
"JAM";38006;2012;6,4
"JPN";38006;1980;5,2
"JPN";38006;1995;3,5
"JPN";38006;2000;3,6
"JPN";38006;2005;3,5
"JPN";38006;2006;3,5
"JPN";38006;2007;3,5
"JPN";38006;2010;3,8
"JPN";38006;2012;3,8
"KAZ";38006;1995;4
"KAZ";38006;2000;3,3
"KAZ";38006;2005;2,3
"KAZ";38006;2006;2,6
"KAZ";38006;2007;2,8
"KAZ";38006;2009;3,1
"KAZ";38006;2012;3,1
"KEN";38006;1980;5,4
"KEN";38006;1985;5,2
"KEN";38006;2000;5,2
"KEN";38006;2005;7,3
"KEN";38006;2006;7
"KEN";38006;2010;6,7
"KEN";38006;2012;6,7
"KGZ";38006;1995;6,2
"KGZ";38006;2000;3,5
"KGZ";38006;2005;4,9
"KGZ";38006;2006;5,5
"KGZ";38006;2007;6,5
"KGZ";38006;2009;6,2
"KGZ";38006;2010;5,8
"KGZ";38006;2012;5,8
"KHM";38006;2000;1,7
"KHM";38006;2007;1,6
"KHM";38006;2010;2,6
"KHM";38006;2012;2,6
"KIR";38006;2000;11
"KNA";38006;1985;5,6
"KNA";38006;1995;3,5
"KNA";38006;2000;4,8
"KNA";38006;2005;3,9
"KNA";38006;2006;4,2
"KNA";38006;2007;4,2
"KNA";38006;2012;4,2
"KOR";38006;1980;3,5
"KOR";38006;1985;4,2
"KOR";38006;1990;3,3
"KOR";38006;1995;3,2
"KOR";38006;2005;4,1
"KOR";38006;2006;4,2
"KOR";38006;2007;4,2
"KOR";38006;2009;5
"KOR";38006;2012;5
"KWT";38006;1980;2,8
"KWT";38006;1985;5
"KWT";38006;2005;4,7
"KWT";38006;2006;3,8
"KWT";38006;2012;3,8
"LAO";38006;2000;1,5
"LAO";38006;2005;2,4
"LAO";38006;2006;3
"LAO";38006;2007;3,1
"LAO";38006;2010;3,3
"LAO";38006;2012;3,3
"LBN";38006;1995;2,2
"LBN";38006;2000;1,9
"LBN";38006;2005;2,6
"LBN";38006;2006;2,7
"LBN";38006;2007;2,6
"LBN";38006;2009;1,8
"LBN";38006;2010;1,7
"LBN";38006;2011;1,6
"LBN";38006;2012;1,6
"LBR";38006;1980;6,3
"LBR";38006;2012;1,9
"LCA";38006;2000;6,7
"LCA";38006;2005;5,3
"LCA";38006;2006;5,9
"LCA";38006;2009;3,8
"LCA";38006;2010;4,2
"LCA";38006;2011;4,4
"LCA";38006;2012;4,4
"LIE";38006;2006;2,1
"LIE";38006;2007;1,9
"LIE";38006;2012;2,1
"LKA";38006;1980;2,7
"LKA";38006;1985;2,6
"LKA";38006;1990;2,4
"LKA";38006;1995;3
"LKA";38006;2009;2,1
"LKA";38006;2010;2
"LKA";38006;2011;2
"LKA";38006;2012;2
"LSO";38006;1985;7,8
"LSO";38006;1995;10,1
"LSO";38006;2000;11,5
"LSO";38006;2005;14,8
"LSO";38006;2006;13,9
"LSO";38006;2012;13
"LTU";38006;1995;4,7
"LTU";38006;2005;4,9
"LTU";38006;2006;4,8
"LTU";38006;2007;4,7
"LTU";38006;2009;5,7
"LTU";38006;2010;5,4
"LTU";38006;2012;5,4
"LUX";38006;1980;4,6
"LUX";38006;1995;3,7
"LVA";38006;1980;3,3
"LVA";38006;1985;3,4
"LVA";38006;1990;3,8
"LVA";38006;1995;6,1
"LVA";38006;2000;5,4
"LVA";38006;2006;5,1
"LVA";38006;2007;5
"LVA";38006;2009;5,6
"LVA";38006;2010;5
"LVA";38006;2012;5
"MAR";38006;1980;5,9
"MAR";38006;1985;5,9
"MAR";38006;1990;5,3
"MAR";38006;1995;5,6
"MAR";38006;2000;5,8
"MAR";38006;2006;5,5
"MAR";38006;2009;5,4
"MAR";38006;2012;5,4
"MCO";38006;1995;1,1
"MCO";38006;2000;1,3
"MCO";38006;2009;1,2
"MCO";38006;2010;1,3
"MCO";38006;2011;1,6
"MCO";38006;2012;1,6
"MDA";38006;2000;4,5
"MDA";38006;2005;7,2
"MDA";38006;2006;7,5
"MDA";38006;2007;8,3
"MDA";38006;2009;9,5
"MDA";38006;2010;9,1
"MDA";38006;2011;8,6
"MDA";38006;2012;8,6
"MDG";38006;1980;4,3
"MDG";38006;1985;2,8
"MDG";38006;2000;2,9
"MDG";38006;2005;3,8
"MDG";38006;2006;3,3
"MDG";38006;2007;3,4
"MDG";38006;2009;3,2
"MDG";38006;2011;2,8
"MDG";38006;2012;2,8
"MDV";38006;2005;5,9
"MDV";38006;2006;5,6
"MDV";38006;2007;5,4
"MDV";38006;2009;7,8
"MDV";38006;2011;7,2
"MDV";38006;2012;7,2
"MEX";38006;1990;2,3
"MEX";38006;1995;4,6
"MEX";38006;2000;4,9
"MEX";38006;2005;5
"MEX";38006;2006;4,8
"MEX";38006;2007;4,8
"MEX";38006;2009;5,3
"MEX";38006;2010;5,3
"MEX";38006;2012;5,3
"MHL";38006;2000;14,6
"MKD";38006;1995;4,5
"MLI";38006;1980;3,4
"MLI";38006;2000;3,6
"MLI";38006;2005;4,1
"MLI";38006;2009;4,4
"MLI";38006;2010;4,3
"MLI";38006;2011;4,7
"MLI";38006;2012;4,7
"MLT";38006;1985;3,2
"MLT";38006;1990;3,8
"MLT";38006;2007;6,3
"MLT";38006;2009;5,4
"MLT";38006;2012;5,4
"MMR";38006;1995;1,2
"MMR";38006;2000;0,6
"MMR";38006;2011;0,8
"MMR";38006;2012;0,8
"MNG";38006;2000;5,6
"MNG";38006;2007;4,7
"MNG";38006;2009;5,1
"MNG";38006;2010;5,4
"MNG";38006;2011;5,5
"MNG";38006;2012;5,5
"MOZ";38006;2005;5,2
"MOZ";38006;2006;5
"MOZ";38006;2012;5
"MRT";38006;2006;2,5
"MRT";38006;2010;4,2
"MRT";38006;2011;3,7
"MRT";38006;2012;3,7
"MUS";38006;1985;3,9
"MUS";38006;1990;3,2
"MUS";38006;2000;3,8
"MUS";38006;2005;4,2
"MUS";38006;2006;3,8
"MUS";38006;2007;3,4
"MUS";38006;2009;3,2
"MUS";38006;2010;3,7
"MUS";38006;2012;3,7
"MWI";38006;1990;3,3
"MWI";38006;1995;4
"MWI";38006;2000;5,2
"MWI";38006;2010;4,4
"MWI";38006;2011;5,4
"MWI";38006;2012;5,4
"MYS";38006;1980;5,6
"MYS";38006;1985;6
"MYS";38006;1995;4,3
"MYS";38006;2000;6
"MYS";38006;2006;4,5
"MYS";38006;2007;4,4
"MYS";38006;2009;6
"MYS";38006;2010;5,1
"MYS";38006;2012;5,1
"NAM";38006;2000;7,9
"NAM";38006;2006;6
"NAM";38006;2010;8,4
"NAM";38006;2012;8,4
"NER";38006;1990;2,9
"NER";38006;1995;2,9
"NER";38006;2000;3,2
"NER";38006;2006;3,3
"NER";38006;2007;4
"NER";38006;2009;4,6
"NER";38006;2010;3,9
"NER";38006;2011;4,5
"NER";38006;2012;4,5
"NIC";38006;1980;3,3
"NIC";38006;2000;3
"NIC";38006;2010;4,7
"NIC";38006;2012;4,7
"NLD";38006;1980;6,4
"NLD";38006;1985;5,9
"NLD";38006;1990;5,6
"NLD";38006;1995;4,9
"NLD";38006;2000;5
"NLD";38006;2005;5,5
"NLD";38006;2006;5,5
"NLD";38006;2007;5,3
"NLD";38006;2009;5,9
"NLD";38006;2010;6
"NLD";38006;2012;6
"NOR";38006;1980;5,8
"NOR";38006;1985;5,4
"NOR";38006;1990;6,4
"NOR";38006;1995;7,9
"NOR";38006;2000;6,6
"NOR";38006;2005;7
"NOR";38006;2006;6,5
"NOR";38006;2007;6,7
"NOR";38006;2009;7,3
"NOR";38006;2010;6,9
"NOR";38006;2012;6,9
"NPL";38006;2000;3
"NPL";38006;2005;3,4
"NPL";38006;2006;3,6
"NPL";38006;2007;3,5
"NPL";38006;2009;4,7
"NPL";38006;2010;4,7
"NPL";38006;2012;4,7
"NZL";38006;1980;4,3
"NZL";38006;1985;3,6
"NZL";38006;1995;5,8
"NZL";38006;2005;6,4
"NZL";38006;2006;6
"NZL";38006;2007;6
"NZL";38006;2009;6,4
"NZL";38006;2010;7,2
"NZL";38006;2012;7,2
"OMN";38006;1990;2,8
"OMN";38006;1995;3,4
"OMN";38006;2000;3,1
"OMN";38006;2005;3,5
"OMN";38006;2006;3,9
"OMN";38006;2009;4,3
"OMN";38006;2012;4,3
"PAK";38006;1980;2,1
"PAK";38006;1985;2,4
"PAK";38006;1990;2,5
"PAK";38006;1995;2,8
"PAK";38006;2000;1,8
"PAK";38006;2005;2,3
"PAK";38006;2006;2,6
"PAK";38006;2007;2,8
"PAK";38006;2009;2,7
"PAK";38006;2010;2,4
"PAK";38006;2012;2,4
"PAN";38006;1980;4,3
"PAN";38006;1985;4,3
"PAN";38006;1995;4,8
"PAN";38006;2000;5
"PAN";38006;2011;4,1
"PAN";38006;2012;4,1
"PER";38006;2005;2,7
"PER";38006;2006;2,5
"PER";38006;2007;2,5
"PER";38006;2009;3
"PER";38006;2010;2,7
"PER";38006;2011;2,6
"PER";38006;2012;2,6
"PHL";38006;1980;1,7
"PHL";38006;1995;3
"PHL";38006;2000;3,3
"PHL";38006;2005;2,4
"PHL";38006;2006;2,5
"PHL";38006;2007;2,6
"PHL";38006;2009;2,7
"PHL";38006;2012;2,7
"PLW";38006;2000;9,8
"POL";38006;1995;4,4
"POL";38006;2000;5
"POL";38006;2005;5,5
"POL";38006;2006;5,3
"POL";38006;2007;4,9
"POL";38006;2009;5,1
"POL";38006;2010;5,2
"POL";38006;2012;5,2
"PRT";38006;1980;3,1
"PRT";38006;1985;3,3
"PRT";38006;1990;3,6
"PRT";38006;1995;4,7
"PRT";38006;2000;5,2
"PRT";38006;2005;5,2
"PRT";38006;2006;5,1
"PRT";38006;2007;5,1
"PRT";38006;2009;5,8
"PRT";38006;2012;5,8
"PRY";38006;1985;1,4
"PRY";38006;1990;1,1
"PRY";38006;2000;5,3
"PRY";38006;2007;4
"PRY";38006;2010;4,1
"PRY";38006;2012;4,1
"QAT";38006;2012;2,5
"ROU";38006;2000;2,9
"ROU";38006;2005;3,5
"ROU";38006;2007;4,3
"ROU";38006;2009;4,2
"ROU";38006;2012;4,2
"RUS";38006;2000;2,9
"RUS";38006;2005;3,8
"RUS";38006;2006;3,9
"RUS";38006;2012;4,1
"RWA";38006;1980;2,7
"RWA";38006;2000;4,1
"RWA";38006;2007;4,3
"RWA";38006;2010;5
"RWA";38006;2011;4,8
"RWA";38006;2012;4,8
"SAU";38006;1995;5,7
"SAU";38006;2000;5,9
"SAU";38006;2005;5,7
"SAU";38006;2006;6,2
"SAU";38006;2007;6,4
"SAU";38006;2012;5,6
"SEN";38006;2000;3,2
"SEN";38006;2005;5,1
"SEN";38006;2006;4,8
"SEN";38006;2009;5,6
"SEN";38006;2010;5,6
"SEN";38006;2012;5,6
"SGP";38006;1980;2,6
"SGP";38006;2000;3,4
"SGP";38006;2009;3,3
"SGP";38006;2010;3,5
"SGP";38006;2011;3,2
"SGP";38006;2012;3,3
"SLB";38006;2007;5,9
"SLB";38006;2009;8
"SLB";38006;2010;7,3
"SLB";38006;2012;7,3
"SLE";38006;2000;4,9
"SLE";38006;2005;2,8
"SLE";38006;2007;2,6
"SLE";38006;2009;2,8
"SLE";38006;2010;2,6
"SLE";38006;2011;2,7
"SLE";38006;2012;2,7
"SLV";38006;1995;2
"SLV";38006;2000;2,5
"SLV";38006;2005;2,7
"SLV";38006;2006;3
"SLV";38006;2007;3,1
"SLV";38006;2010;3,2
"SLV";38006;2011;3,4
"SLV";38006;2012;3,4
"SMR";38006;1990;3,2
"SMR";38006;1995;3,4
"SRB";38006;2007;4,7
"SRB";38006;2009;5
"SRB";38006;2010;4,7
"SRB";38006;2012;4,7
"SVK";38006;1995;4,4
"SVK";38006;2000;3,9
"SVK";38006;2005;3,8
"SVK";38006;2006;3,8
"SVK";38006;2007;3,6
"SVK";38006;2009;4,1
"SVK";38006;2010;4,2
"SVK";38006;2012;4,2
"SVN";38006;1995;5
"SVN";38006;2005;5,7
"SVN";38006;2006;5,7
"SVN";38006;2007;5,2
"SVN";38006;2009;5,7
"SVN";38006;2010;5,7
"SVN";38006;2012;5,7
"SWE";38006;1980;7
"SWE";38006;1990;5,6
"SWE";38006;1995;6,5
"SWE";38006;2000;7,2
"SWE";38006;2005;6,9
"SWE";38006;2006;6,7
"SWE";38006;2007;6,6
"SWE";38006;2009;7,3
"SWE";38006;2010;7
"SWE";38006;2012;7
"SWZ";38006;1980;5,3
"SWZ";38006;1990;5,5
"SWZ";38006;1995;5,7
"SWZ";38006;2000;5,5
"SWZ";38006;2005;7,4
"SWZ";38006;2006;8,1
"SWZ";38006;2009;7,1
"SWZ";38006;2010;6,9
"SWZ";38006;2011;7,8
"SWZ";38006;2012;7,8
"SYC";38006;1985;10,2
"SYC";38006;1995;7,7
"SYC";38006;2006;4,8
"SYC";38006;2012;4,8
"SYR";38006;1980;4,6
"SYR";38006;1985;6,1
"SYR";38006;1995;3,2
"SYR";38006;2006;5,3
"SYR";38006;2007;4,9
"SYR";38006;2009;5,1
"SYR";38006;2012;5,1
"TCD";38006;2000;2,6
"TCD";38006;2005;2,1
"TCD";38006;2009;3
"TCD";38006;2010;2,5
"TCD";38006;2011;2,6
"TCD";38006;2012;2,6
"TGO";38006;2000;4,5
"TGO";38006;2005;3,4
"TGO";38006;2006;3,7
"TGO";38006;2007;3,7
"TGO";38006;2009;4,1
"TGO";38006;2010;4,4
"TGO";38006;2011;4,6
"TGO";38006;2012;4,6
"THA";38006;1980;2,6
"THA";38006;1995;3,2
"THA";38006;2000;5,4
"THA";38006;2005;4,2
"THA";38006;2006;4,3
"THA";38006;2007;3,8
"THA";38006;2009;4,1
"THA";38006;2010;3,8
"THA";38006;2011;5,8
"THA";38006;2012;5,8
"TJK";38006;1995;2,1
"TJK";38006;2000;2,3
"TJK";38006;2005;3,5
"TJK";38006;2006;3,4
"TJK";38006;2007;3,4
"TJK";38006;2009;4,1
"TJK";38006;2010;4
"TJK";38006;2011;3,9
"TJK";38006;2012;3,9
"TLS";38006;2009;11,9
"TLS";38006;2010;11,2
"TLS";38006;2011;10,1
"TLS";38006;2012;10,1
"TON";38006;2000;4,9
"TTO";38006;1980;3,8
"TTO";38006;1985;5,8
"TTO";38006;1990;3,7
"TTO";38006;2000;3,8
"TUN";38006;1980;5,2
"TUN";38006;1985;5,5
"TUN";38006;1990;5,8
"TUN";38006;1995;6,4
"TUN";38006;2000;6,2
"TUN";38006;2005;6,5
"TUN";38006;2006;6,4
"TUN";38006;2007;6,5
"TUN";38006;2009;6,5
"TUN";38006;2010;6,2
"TUN";38006;2012;6,2
"TUR";38006;1985;1,7
"TUR";38006;1990;2,1
"TUR";38006;1995;2,3
"TUR";38006;2000;2,6
"TUR";38006;2006;2,9
"TUR";38006;2012;2,9
"TUV";38006;1990;7,6
"TZA";38006;1990;2,1
"TZA";38006;2010;6,2
"TZA";38006;2012;6,2
"UGA";38006;1985;3,4
"UGA";38006;2000;2,5
"UGA";38006;2009;3,3
"UGA";38006;2010;2,6
"UGA";38006;2011;3,2
"UGA";38006;2012;3,3
"UKR";38006;2000;4,2
"UKR";38006;2005;6,1
"UKR";38006;2006;6,2
"UKR";38006;2007;5,3
"UKR";38006;2012;5,3
"URY";38006;1980;2,2
"URY";38006;1985;2,6
"URY";38006;1995;2,5
"URY";38006;2000;2,4
"URY";38006;2005;2,7
"URY";38006;2006;2,9
"URY";38006;2012;2,9
"USA";38006;1990;5
"USA";38006;1995;5,2
"USA";38006;2005;5,3
"USA";38006;2006;5,6
"USA";38006;2007;5,5
"USA";38006;2009;5,4
"USA";38006;2010;5,6
"USA";38006;2012;5,6
"VCT";38006;2000;7,9
"VCT";38006;2005;6,3
"VCT";38006;2007;5,7
"VCT";38006;2009;5,7
"VCT";38006;2010;5,1
"VCT";38006;2012;5,1
"VEN";38006;1980;3,9
"VEN";38006;1990;2,5
"VEN";38006;2006;3,7
"VEN";38006;2007;3,6
"VEN";38006;2012;3,6
"VNM";38006;2010;6,6
"VNM";38006;2012;6,6
"VUT";38006;2000;7
"VUT";38006;2009;5,2
"VUT";38006;2012;5,2
"WSM";38006;2000;4
"WSM";38006;2012;5,8
"YEM";38006;2000;9,7
"YEM";38006;2012;5,2
"ZAF";38006;1990;5,3
"ZAF";38006;2000;5,6
"ZAF";38006;2005;5,3
"ZAF";38006;2006;5,3
"ZAF";38006;2007;5,2
"ZAF";38006;2009;5,5
"ZAF";38006;2010;6
"ZAF";38006;2012;6
"ZMB";38006;1980;4,1
"ZMB";38006;1985;4,1
"ZMB";38006;1995;2
"ZMB";38006;2000;2
"ZMB";38006;2005;2
"ZMB";38006;2007;1,5
"ZMB";38006;2012;1,3
"ZWE";38006;1980;2,5
"ZWE";38006;1985;7,4
"ZWE";38006;1990;12,5
"ZWE";38006;2010;2,5
"ZWE";38006;2012;2,5
"AFG";38406;2013;0,293
"ALB";38406;2013;0,005
"ARG";38406;2013;0,015
"ARM";38406;2013;0,002
"AZE";38406;2013;0,009
"BDI";38406;2013;0,442
"BEN";38406;2013;0,401
"BFA";38406;2013;0,508
"BGD";38406;2013;0,237
"BIH";38406;2013;0,006
"BLR";38406;2013;0,001
"BLZ";38406;2013;0,03
"BOL";38406;2013;0,097
"BRA";38406;2013;0,012
"BTN";38406;2013;0,128
"CAF";38406;2013;0,424
"CHN";38406;2013;0,026
"CIV";38406;2013;0,007
"CMR";38406;2013;0,26
"COD";38406;2013;0,399
"COG";38406;2013;0,192
"COL";38406;2013;0,032
"DJI";38406;2013;0,127
"DOM";38406;2013;0,026
"EGY";38406;2013;0,036
"ETH";38406;2013;0,537
"GAB";38406;2013;0,073
"GEO";38406;2013;0,008
"GHA";38406;2013;0,144
"GIN";38406;2013;0,548
"GMB";38406;2013;0,329
"GNB";38406;2013;0,495
"GUY";38406;2013;0,031
"HND";38406;2013;0,098
"HTI";38406;2013;0,242
"IDN";38406;2013;0,024
"IND";38406;2013;0,282
"IRQ";38406;2013;0,052
"JOR";38406;2013;0,004
"KAZ";38406;2013;0,004
"KEN";38406;2013;0,226
"KGZ";38406;2013;0,013
"KHM";38406;2013;0,211
"LAO";38406;2013;0,186
"LBR";38406;2013;0,459
"LSO";38406;2013;0,227
"MDA";38406;2013;0,005
"MDG";38406;2013;0,42
"MDV";38406;2013;0,008
"MEX";38406;2013;0,024
"MKD";38406;2013;0,007
"MLI";38406;2013;0,533
"MNE";38406;2013;0,012
"MNG";38406;2013;0,077
"MOZ";38406;2013;0,39
"MRT";38406;2013;0,362
"MWI";38406;2013;0,332
"NAM";38406;2013;0,2
"NER";38406;2013;0,584
"NGA";38406;2013;0,239
"NIC";38406;2013;0,088
"NPL";38406;2013;0,197
"PAK";38406;2013;0,237
"PER";38406;2013;0,043
"PHL";38406;2013;0,038
"RWA";38406;2013;0,352
"SEN";38406;2013;0,39
"SLE";38406;2013;0,405
"SOM";38406;2013;0,5
"SRB";38406;2013;0,001
"STP";38406;2013;0,217
"SUR";38406;2013;0,033
"SWZ";38406;2013;0,113
"SYR";38406;2013;0,024
"TGO";38406;2013;0,26
"THA";38406;2013;0,004
"TJK";38406;2013;0,031
"TLS";38406;2013;0,322
"TTO";38406;2013;0,007
"TUN";38406;2013;0,006
"TZA";38406;2013;0,335
"UGA";38406;2013;0,359
"UKR";38406;2013;0,002
"UZB";38406;2013;0,013
"VNM";38406;2013;0,026
"VUT";38406;2013;0,135
"YEM";38406;2013;0,191
"ZAF";38406;2013;0,041
"ZMB";38406;2013;0,318
"ZWE";38406;2013;0,181
"AFG";38506;2013;49,9
"ALB";38506;2013;38,3
"ARG";38506;2013;39,1
"ARM";38506;2013;37
"AZE";38506;2013;38,2
"BDI";38506;2013;54
"BEN";38506;2013;57,4
"BFA";38506;2013;61,3
"BGD";38506;2013;47,8
"BIH";38506;2013;37,3
"BLR";38506;2013;34,5
"BLZ";38506;2013;41,2
"BOL";38506;2013;47
"BRA";38506;2013;40,8
"BTN";38506;2013;43,5
"CAF";38506;2013;55,6
"CHN";38506;2013;43,4
"CIV";38506;2013;36,9
"CMR";38506;2013;54,1
"COD";38506;2013;53,7
"COG";38506;2013;44,7
"COL";38506;2013;42,2
"DJI";38506;2013;47,3
"DOM";38506;2013;41,9
"EGY";38506;2013;40,3
"ETH";38506;2013;60,9
"GAB";38506;2013;43,4
"GEO";38506;2013;37,6
"GHA";38506;2013;47,3
"GIN";38506;2013;63,4
"GMB";38506;2013;54,1
"GNB";38506;2013;61,6
"GUY";38506;2013;40
"HND";38506;2013;47,4
"HTI";38506;2013;48,1
"IDN";38506;2013;41,3
"IND";38506;2013;51,1
"IRQ";38506;2013;39,4
"JOR";38506;2013;36,8
